opDATE;spDATE;REFERENCIA;DEBE;HABER
2017-09-20;2017-09-20;Bonificacion-Remito1870;0;266,58
2017-09-15;2017-09-15;140917;0;46200
2017-09-15;2017-09-13;1870;46466,58;0
2017-09-15;2017-09-11;22024;26830,06;0
2017-09-15;2017-09-08;22017;101031,9;0
2017-09-15;2017-09-08;22016;45054,18;0
2017-09-15;2017-09-08;22015;30878,27;0
2017-09-15;2017-09-08;22014;10577,87;0
2017-09-15;2017-09-08;22013;6427,142;0
2017-09-15;2017-09-08;22012;8811,621;0
2017-09-13;2017-09-13;96;0;200000
2017-09-06;2017-09-06;290817;0;19852,8
2017-09-06;2017-08-28;280817;19852,8;0
2017-09-06;2017-09-06;95;0;100000
2017-09-06;2017-09-06;94;0;130000
2017-09-05;2017-09-05;50917;0;13236
2017-09-05;2017-09-05;050917;6048;0
2017-09-05;2017-08-25;21912;79368,59;0
2017-09-05;2017-09-04;040917;7164;0
2017-09-05;2017-08-24;21906;16973,43;0
2017-09-05;2017-08-25;21911;18469,28;0
2017-09-05;2017-08-25;21913;62460,08;0
2017-09-05;2017-08-25;21914;13279,68;0
2017-09-05;2017-08-25;21915;62441,11;0
2017-09-05;2017-08-25;21916;37670,44;0
2017-09-05;2017-08-25;21917;1637,27;0
2017-09-05;2017-08-04;21786;25757,1;0
2017-09-05;2017-08-04;21787;44075,52;0
2017-09-05;2017-08-04;21788;63272,89;0
