ACTUAL;MONTO;CLIENTE;REMITO;FECHA
UTIL;0;olivos tx2;603;2017-09-11
UTIL;0;villegas tx2;604;2017-09-11
UTIL;0;celina tx2;605;2017-09-11
UTIL;0;herrera celina tx2;607;2017-09-11
UTIL;0;hurlingham tx2;608;2017-09-11
UTIL;0;palomar;609;2017-09-11
UTIL;0;lin tx2;610;2017-09-11
UTIL;0;maipu 24 tx2;611;2017-09-11
UTIL;0;lopez tx2;612;2017-09-11
UTIL;0;chacarita tx2;613;2017-09-11
UTIL;0;forest 581 tx2;614;2017-09-11
UTIL;0;congreso coronado tx2;615;2017-09-11
UTIL;0;vergara tx2;616;2017-09-11
UTIL;0;moron tx2;618;2017-09-11
UTIL;0;marcos paz tx2;619;2017-09-11
UTIL;0;santos tx2;620;2017-09-11
UTIL;0;noi tx2;621;2017-09-11
UTIL;0;no existe mas - parque patricios tx2;622;2017-09-11
UTIL;0;merlo tx2;626;2017-09-12
UTIL;0;beccar tx2;627;2017-09-13
UTIL;0;libreria windsor ;628;2017-09-13
UTIL;0;acoyte tx2;629;2017-09-13
UTIL;0;mariano tx2;630;2017-09-13
UTIL;0;avenida de mayo tx2;632;2017-09-13
UTIL;0;avellaneda tx2;634;2017-09-13
UTIL;0;cesar;635;2017-09-14
UTIL;0;CASA CAMI;636;2017-09-14
UTIL;0;CASA CAMI;637;2017-09-14
UTIL;0;caseros crovara tx2;638;2017-09-14
UTIL;0;caseros tx2;639;2017-09-14
UTIL;0;estrada santa fe tx2;640;2017-09-14
UTIL;0;el fortin tx2;641;2017-09-14
UTIL;0;rodriguez tx2;652;2017-09-14
UTIL;20533,65300000001;NULL;653;2017-09-15
UTIL;15042,508799999994;NULL;654;2017-09-15
UTIL;24753,309600000008;NULL;655;2017-09-15
UTIL;70867,32319999998;NULL;656;2017-09-15
UTIL;105494,47739999995;NULL;657;2017-09-15
UTIL;238186,5004;NULL;658;2017-09-15
UTIL;63791,09699999999;NULL;659;2017-09-15
UTIL;99803,94;NULL;672;2017-09-15
UTIL;0;donato tx2;675;2017-09-17
UTIL;0;calzada tx2;676;2017-09-17
UTIL;0;claypole tx2;677;2017-09-17
UTIL;0;bingocrovara tx2;678;2017-09-17
UTIL;2200,2880000000005;NULL;679;2017-09-18
UTIL;0;banfield tx2;680;2017-09-18
UTIL;0;quilmes tx2;681;2017-09-18
UTIL;0;no existe mas - alem grande tx2;682;2017-09-18
UTIL;0;laoeste tx2;683;2017-09-18
UTIL;0;los incas tx2;684;2017-09-18
UTIL;0;san jose tx2;685;2017-09-18
UTIL;0;lanus tx2;687;2017-09-18
UTIL;0;laferrere tx2;688;2017-09-18
UTIL;0;mitre avellaneda tx2;689;2017-09-18
UTIL;0;ballester tx2;690;2017-09-18
UTIL;0;pilar miguel tx2;691;2017-09-18
UTIL;0;yrigoyen lanus;709;2017-09-19
UTIL;0;lalee tx2;710;2017-09-19
UTIL;0;lavalle tx2;711;2017-09-19
UTIL;0;gustavo lomas tx2;712;2017-09-19
UTIL;0;cliente repetido no usar - lindisima;717;2017-09-20
UTIL;0;castillo tx2;720;2017-09-20
UTIL;0;mitre san martin tx2;721;2017-09-20
UTIL;0;san martin tx2;722;2017-09-20
UTIL;0;choy tx2;723;2017-09-20
UTIL;0;3 de febrero tx2;724;2017-09-20
UTIL;1034,0472;castillo tx2;727;2017-09-21
UTIL;0;bazar umi;737;2017-09-21
UTIL;0;lomas tx2;740;2017-09-21
UTIL;0;merlo tx2;741;2017-09-21
UTIL;0;san nicolas arroyos;742;2017-09-21
UTIL;0;vicente grande tx2;743;2017-09-21
UTIL;0;kimi tx2;745;2017-09-21
UTIL;0;glew tx2;746;2017-09-21
UTIL;0;no existe mas -tapiales sur mer;747;2017-09-21
UTIL;0;liniers tx2;752;2017-09-22
UTIL;0;adrogue tx2;753;2017-09-22
UTIL;0;catan tx2;756;2017-09-24
UTIL;0;alberdi tx2;757;2017-09-24
UTIL;0;mercedes tx2;771;2017-09-25
UTIL;0;moreno tx2;772;2017-09-25
UTIL;0;soler tx2;773;2017-09-25
UTIL;0;solano tx2;774;2017-09-25
UTIL;0;vareva tx2;776;2017-09-25
UTIL;0;cesar;777;2017-09-25
UTIL;0;florencio tx2;784;2017-09-26
UTIL;0;cabildo 3520;785;2017-09-26
UTIL;0;yrigoyen paz;786;2017-09-26
UTIL;0;franco 5827;791;2017-09-26
UTIL;2585,5762000000004;lavalle tx2;793;2017-09-27
UTIL;98189,45280000004;NULL;794;2017-09-27
UTIL;59198,97599999999;NULL;795;2017-09-27
UTIL;75105,52819999999;NULL;796;2017-09-27
UTIL;173882,3064;NULL;797;2017-09-27
UTIL;0;8000 tx2;798;2017-09-27
UTIL;0;monroe tx2;799;2017-09-27
UTIL;0;xeng tx2;800;2017-09-27
UTIL;0;urquiza tx2;801;2017-09-27
UTIL;0;suarez tx2;814;2017-09-28
UTIL;0;rolon tx2;815;2017-09-28
