
##### PATRIMONIO #####

STOCK   CLIENTES  LIQUIDEZ  PROVEEDORs  PATRIMONIO
691897  664682    80040     620217      816401

##### RANKING COMPRA CLIENTES #######

MES      DENOMINACION                                  MONTO
2017-12  mosconi tx2                                   $ 6445
2017-12  ciudadela tx2                                 $ 6360
2017-12  acoyte tx2                                    $ 6318
2017-12  zoe arrecifes                                 $ 6248
2017-12  urquiza tx2                                   $ 5985
2017-12  olivos tx2                                    $ 5939
2017-12  mitre san martin tx2                          $ 5866
2017-12  marcos paz tx2                                $ 5858
2017-12  san martin tx2                                $ 5847
2017-12  mariano tx2                                   $ 5825
2017-12  yrigoyen paz                                  $ 5562
2017-12  cordoba tx2                                   $ 5435
2017-12  carrillo tx2                                  $ 5427
2017-12  bingocrovara tx2                              $ 4982
2017-12  multiprecio tx2                               $ 4862
2017-12  san fernando tx2                              $ 4804
2017-12  jose maria moreno tx2                         $ 4664
2017-12  pilar miguel tx2                              $ 4619
2017-12  katinazca tx2                                 $ 4566
2017-12  avenida de mayo tx2                           $ 4536
2017-12  8000 chaca tx2                                $ 4422
2017-12  nestor tx2                                    $ 4397
2017-12  CASA CAMI                                     $ 4376
2017-12  lujan tx2                                     $ 4333
2017-12  escalada tx2                                  $ 4278
2017-12  corrientes 2 tx2                              $ 4174
2017-12  juan mansilla tx2                             $ 4171
2017-12  rivadavia 18029                               $ 4132
2017-12  suarez tx2                                    $ 4050
2017-12  laferrere tx2                                 $ 3881
2017-12  cesar                                         $ 3720
2017-12  mataderos tx2                                 $ 3652
2017-12  san nicolas arroyos                           $ 2951
2017-12  lavalle tx2                                   $ 2822
2017-12  medrano tx2                                   $ 2809
2017-12  cuenca tz2                                    $ 2747
2017-12  santos tx2                                    $ 2747
2017-12  rivadavia tx2                                 $ 2684
2017-12  ruta 23 tx2                                   $ 2616
2017-12  libreria stockler                             $ 2571
2017-12  castillo tx2                                  $ 2542
2017-12  ort tx2                                       $ 2498
2017-12  veronica tx2                                  $ 2256
2017-12  mitre avellaneda tx2                          $ 2158
2017-12  fernando avellaneda                           $ 2100
2017-12  lucas castillo tx2                            $ 2091
2017-12  luis lavalle tx2                              $ 1642
2017-12  congreso tx2                                  $ 1626
2017-12  quilmes san martin tx2                        $ 1570
2017-12  yrigoyen lanus                                $ 1378
2017-12  san isidro tx2                                $ 1272
2017-12  los incas tx2                                 $ 1239
2017-12  gaona tx2                                     $ 1081
2017-12  lynmartin tx2                                 $ 1076
2017-12  el jaguel tx2                                 $ 1063
2017-12  25 avellaneda tx2                             $ 923
2017-12  domingo peron tx2                             $ 863
2017-12  beccar tx2                                    $ 760
2017-12  caseros crovara tx2                           $ 740
2017-12  eva san juan tx2                              $ 693
2017-12  belgrano tx2                                  $ 657
2017-12  rolon tx2                                     $ 444
2017-12  kimi tx2                                      $ 392
2017-12  beiro 4285 tx2                                $ 328
2018-01  silvio serrano                                $ 51023
2018-01  rodriguez tx2                                 $ 44809
2018-01  LAS ROCAS                                     $ 36945
2018-01  vergara tx2                                   $ 28790
2018-01  cliente repetido no usar - cobo gaona         $ 23828
2018-01  acoyte tx2                                    $ 17587
2018-01  virreyes tx2                                  $ 17528
2018-01  moreno tx2                                    $ 17160
2018-01  lanuperon tx2                                 $ 15749
2018-01  vicente grande tx2                            $ 15316
2018-01  cobo tx2                                      $ 14177
2018-01  pacheco tx2                                   $ 14053
2018-01  escobar tx2                                   $ 13934
2018-01  mariano tx2                                   $ 13499
2018-01  españa tx2                                    $ 12248
2018-01  navarro tx2                                   $ 12042
2018-01  atucha tx2                                    $ 11362
2018-01  jauretche tx2                                 $ 10915
2018-01  moron tx2                                     $ 9984
2018-01  balbin miguel                                 $ 9738
2018-01  veronica tx2                                  $ 9381
